season,episode,totalEpisode,duration
1,1,1,00:54:00:00
1,2,2,00:43:00:00
1,3,3,00:43:00:00
1,4,4,00:43:00:00
1,5,5,00:43:00:00
1,6,6,00:43:00:00
1,7,7,00:43:00:00
1,8,8,00:43:00:00
1,9,9,00:43:00:00
1,10,10,00:43:00:00
1,11,11,00:43:00:00
1,12,12,00:43:00:00
1,13,13,01:04:00:00
1,14,14,00:43:00:00
1,15,15,00:43:00:00
1,16,16,00:43:00:00
2,1,17,00:54:00:00
2,2,18,00:43:00:00
2,3,19,00:43:00:00
2,4,20,00:43:00:00
2,5,21,00:43:00:00
2,6,22,00:43:00:00
2,7,23,00:43:00:00
2,8,24,00:43:00:00
2,9,25,01:05:00:00
2,10,26,00:43:00:00
2,11,27,00:43:00:00
2,12,28,00:43:00:00
2,13,29,00:43:00:00
2,14,30,01:05:00:00
2,15,31,00:43:00:00
2,16,32,00:43:00:00
2,17,33,00:43:00:00
2,18,34,00:43:00:00
2,19,35,00:43:00:00
2,20,36,00:43:00:00
2,21,37,00:44:00:00
2,22,38,00:43:00:00
2,23,39,00:43:00:00
2,24,40,00:54:00:00
3,1,41,00:44:00:00
3,2,42,00:54:00:00
3,3,43,00:43:00:00
3,4,44,00:43:00:00
3,5,45,00:43:00:00
3,6,46,00:43:00:00
3,7,47,00:43:00:00
3,8,48,00:43:00:00
3,9,49,00:43:00:00
3,10,50,00:43:00:00
3,11,51,00:54:00:00
3,12,52,00:43:00:00
3,13,53,00:43:00:00
3,14,54,00:44:00:00
3,15,55,00:43:00:00
3,16,56,00:43:00:00
4,1,57,00:43:00:00
4,2,58,00:54:00:00
4,3,59,00:43:00:00
4,4,60,00:43:00:00
4,5,61,00:43:00:00
4,6,62,00:43:00:00
4,7,63,00:43:00:00
4,8,64,00:43:00:00
4,9,65,00:54:00:00
4,10,66,00:43:00:00
4,11,67,00:43:00:00
4,12,68,00:43:00:00
4,13,69,00:43:00:00
4,14,70,00:54:00:00
4,15,71,00:43:00:00
4,16,72,00:43:00:00
4,17,73,00:43:00:00
4,18,74,00:43:00:00
4,19,75,00:54:00:00
5,1,76,00:43:00:00
5,2,77,00:54:00:00
5,3,78,00:43:00:00
5,4,79,00:43:00:00
5,5,80,00:43:00:00
5,6,81,00:43:00:00
5,7,82,00:43:00:00
5,8,83,00:43:00:00
5,9,84,00:54:00:00
5,10,85,00:43:00:00
5,11,86,00:54:00:00
5,12,87,00:43:00:00
5,13,88,00:43:00:00
5,14,89,00:43:00:00
5,15,90,00:43:00:00
5,16,91,00:43:00:00
5,17,92,00:43:00:00
5,18,93,00:43:00:00
5,19,94,00:43:00:00